date,duration,exclude,text,Concept,Phrase,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
6/11/24 10:52,193,0,"When people use that phrase, they are talking about something that accurately reflects a concept or experience. It's probably related to an experience that made you particularly aware of your conscious state. It might also be something that's carefully chosen or has clear connections to other concepts.",Word,Meaningful,1,47,2.48,65.16,83.13,,15.67,31.91,85.11,72.34,59.57,23.4,6.38,0,0,4.26,0,2.13,17.02,17.02,4.26,0,8.51,12.77,10.64,8.51,0,19.15,8.51,0,0,0,0,0,31.91,0,31.91,12.77,4.26,0,12.77,0,6.38,0,0,0,0,0,0,0,0,0,0,0,10.64,2.13,0,0,0,0,2.13,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,6.38,2.13,0,2.13,2.13,0,0,2.13,2.13,8.51,2.13,0,0,0,0,0,12.77,6.38,2.13,0,0,4.26,0,0
6/11/24 10:47,584,0,The meaning of life could also mean the understanding of life. People often ask what is the meaning of life because they don't know their purpose. Once a person knows their purpose in life they will be closer to understanding the meaning of life.,Life,MeaningOf,1,44,65.33,86.82,89.39,,14.67,18.18,100,65.91,56.82,11.36,9.09,0,0,0,0,9.09,2.27,18.18,11.36,2.27,13.64,11.36,6.82,4.55,2.27,18.18,2.27,2.27,0,0,0,0,29.55,0,29.55,18.18,6.82,2.27,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.27,0,0,0,0,2.27,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,4.55,0,0,4.55,0,0,0,4.55,0,6.82,2.27,0,0,0,0,0,9.09,6.82,0,0,0,2.27,0,0
6/11/24 10:56,167,0,"It means a life that is filled with purpose.  Meaningful also implies that the person spent their life pursuing and supporting things that were important to them.  Also, it implies that they are able to leave a legacy that had value to them.",Life,Meaningful,1,43,11.27,93.3,22.48,87.73,14.33,16.28,90.7,72.09,60.47,27.91,9.3,0,0,0,0,9.3,18.6,20.93,6.98,0,9.3,9.3,4.65,6.98,0,16.28,4.65,0,2.33,0,2.33,0,11.63,0,11.63,9.3,2.33,0,0,0,0,0,4.65,4.65,0,0,0,0,0,0,0,0,16.28,0,0,0,0,0,0,11.63,0,0,0,0,0,0,0,0,2.33,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,4.65,4.65,0,2.33,2.33,0,0,0,0,6.98,6.98,0,0,0,0,0,0,9.3,6.98,2.33,0,0,0,0,0
6/11/24 10:58,85,0,"When people use this phrase, I think they are talking about the reason for why someone should go through life. It means the purpose for humanity's existence. It describes why people are born and why they continue living.",Life,MeaningOf,1,38,17.38,82.58,84.38,,12.67,21.05,94.74,73.68,55.26,18.42,7.89,2.63,0,0,0,5.26,10.53,7.89,5.26,0,10.53,7.89,13.16,5.26,0,26.32,0,0,0,0,0,0,26.32,0,26.32,7.89,15.79,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,5.26,0,0,0,0,5.26,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,0,2.63,5.26,0,0,0,7.89,2.63,7.89,0,0,0,0,0,0,13.16,7.89,2.63,0,0,2.63,0,0
6/11/24 10:58,144,0,Meaning is hard to define. I think it represents an idea. It tells what that idea is physically or emotionally. It can be a thought and representation of a word. It is what it is.,Word,MeaningOf,1,35,5.94,13.3,63.35,,7,17.14,100,82.86,65.71,25.71,2.86,2.86,0,0,0,0,22.86,11.43,8.57,0,5.71,17.14,2.86,5.71,0,31.43,2.86,0,0,0,0,0,28.57,0,28.57,17.14,0,2.86,2.86,0,2.86,0,2.86,0,0,2.86,0,0,0,0,0,0,5.71,5.71,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,2.86,0,0,20,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
6/11/24 10:57,215,0,"Depending on the scenario, I believe it has to do with the value it brings to the individuals in the conversation. That can present itself as an association to a certain feeling or situation it reminds you of. Meaningful words usually generate reactions or reflection.",Word,Meaningful,1,45,89.52,40.06,63.35,54.76,15,35.56,93.33,68.89,60,15.56,4.44,2.22,0,2.22,0,0,11.11,15.56,13.33,0,17.78,6.67,2.22,6.67,0,13.33,4.44,0,2.22,2.22,0,0,28.89,0,28.89,8.89,6.67,2.22,8.89,0,4.44,2.22,2.22,2.22,0,0,0,0,0,0,0,0,11.11,6.67,0,0,0,0,4.44,4.44,0,0,0,0,0,0,0,0,2.22,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,8.89,0,2.22,2.22,2.22,0,2.22,2.22,0,4.44,4.44,0,0,0,0,0,8.89,6.67,2.22,0,0,0,0,0
6/11/24 10:59,83,0,I think that they are talking about the dictionary definition.  One that also uses the word in a sentence that allows for a context recognition.  Nothing deep like the meaning of life.,Word,MeaningOf,1,32,89.52,23.51,75.23,69.4,10.67,25,90.63,71.88,59.38,15.63,6.25,3.13,0,0,0,3.13,9.38,28.13,15.63,3.13,15.63,3.13,6.25,3.13,3.13,12.5,3.13,3.13,3.13,0,0,3.13,21.88,3.13,18.75,12.5,6.25,0,0,0,0,0,3.13,3.13,0,0,0,0,0,0,0,0,15.63,9.38,0,0,0,0,6.25,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,9.38,9.38,0,0,0,0,0,0
6/11/24 10:59,162,0,"When I think of ""a meaningful life"" I think that this means someone who has made an impact on those around them, whether that be obvious things like donating more or more simple things like spending time with those in need. I think of someone who is remembered for going the ""extra mile"" to help those in need. I also think it means someone who doesn't have to have a light shining on them to do what is good and what is right when making a difference.",Life,Meaningful,1,87,20.17,40.06,81.15,74.09,29,12.64,100,88.51,67.82,26.44,10.34,4.6,0,0,0,2.3,16.09,14.94,5.75,0,16.09,10.34,4.6,6.9,1.15,25.29,6.9,4.6,2.3,2.3,0,0,22.99,0,22.99,9.2,3.45,2.3,4.6,1.15,3.45,1.15,3.45,3.45,0,1.15,1.15,0,0,0,0,0,12.64,2.3,2.3,0,0,0,0,9.2,0,0,0,0,0,0,0,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,2.3,0,0,2.3,1.15,0,0,0,0,12.64,8.05,0,1.15,4.6,2.3,0,0,2.3,2.3,9.2,1.15,0,0,0,0,0,10.34,3.45,1.15,0,0,1.15,4.6,0
6/11/24 10:59,224,0,A meaningful word is a word that is important. It has a special meaning to someone. It could be related to a memory they have that is important to them.,Word,Meaningful,1,30,30.37,89.5,1.91,99,10,23.33,100,83.33,70,23.33,6.67,0,0,0,0,6.67,16.67,20,13.33,0,10,23.33,0,0,0,23.33,13.33,0,0,0,0,0,20,0,20,10,0,3.33,3.33,0,0,3.33,10,10,0,0,0,0,0,0,0,0,16.67,6.67,0,0,0,0,6.67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,10,10,0,0,0,0,0,0
6/11/24 11:16,128,0,"I think the meaning of life, in this case, refers to purpose. It refers to the evaluation of what may be gained by living a life. It also refers to the value of being alive, and it does not refer to a certain biological entity, so it oculd mean a human, or  a tree, or a fish, etc.",Life,MeaningOf,1,58,84,9.86,43.66,,19.33,8.62,89.66,75.86,58.62,12.07,1.72,1.72,0,0,0,0,10.34,15.52,13.79,0,15.52,6.9,3.45,8.62,1.72,17.24,6.9,0,1.72,0,1.72,0,22.41,0,22.41,6.9,1.72,0,5.17,0,5.17,0,0,0,0,0,0,0,0,0,0,0,12.07,6.9,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,1.72,0,0,0,0,0,1.72,0,0,0,1.72,0,0,0,1.72,0,0,5.17,3.45,0,0,3.45,0,0,0,0,0,6.9,1.72,0,0,0,0,0,17.24,5.17,12.07,0,0,0,0,0
6/11/24 11:19,44,0,I think when people use the phrase meaningful life they mean that their life means a lot to them. I also think that when someone says that it means they are content with their life and it brings them joy and happiness. Meaningful means that it makes you happy.,Life,Meaningful,1,49,1.65,97.11,93.64,99,16.33,10.2,95.92,81.63,57.14,34.69,18.37,4.08,0,2.04,0,12.24,16.33,18.37,4.08,0,4.08,2.04,6.12,10.2,0,20.41,6.12,2.04,0,0,0,0,22.45,0,22.45,16.33,4.08,0,2.04,0,0,0,10.2,10.2,0,6.12,6.12,0,0,0,0,0,26.53,4.08,0,0,0,0,2.04,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,2.04,0,2.04,0,0,0,0,4.08,0,14.29,0,0,0,0,0,0,6.12,6.12,0,0,0,0,0,0
6/11/24 11:15,336,0,"I believe the phrase ""A meaningful life"" is referred to an individual who is content. When they are satisfied with their life after going through many trials of failure. That they have reached their resolution: that they have discovered their life purpose and are no longer trying to be someone else.",Life,Meaningful,1,51,16.49,88.96,60.65,80.19,17,25.49,94.12,78.43,62.75,21.57,15.69,1.96,0,0,0,11.76,5.88,19.61,5.88,0,11.76,13.73,3.92,5.88,1.96,23.53,7.84,5.88,3.92,0,3.92,0,17.65,1.96,15.69,5.88,1.96,1.96,1.96,0,1.96,0,3.92,3.92,0,0,0,0,0,0,0,0,27.45,3.92,1.96,0,0,0,0,15.69,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,11.76,5.88,0,3.92,3.92,0,0,0,3.92,5.88,7.84,1.96,0,0,0,0,0,11.76,5.88,0,0,0,0,5.88,0
6/11/24 11:21,117,0,I believe that what they are trying to explain is a word that has a significance to them. Whether they relate to it on personal level or a sentimental one. It is something that they hold dear to the way they live and understand the situation they are in.,Word,Meaningful,1,49,32.77,83.6,66.12,51.68,16.33,18.37,97.96,85.71,69.39,28.57,14.29,2.04,0,0,0,12.24,14.29,18.37,10.2,2.04,12.24,10.2,0,6.12,0,22.45,4.08,2.04,4.08,2.04,2.04,0,18.37,0,18.37,8.16,0,2.04,4.08,0,4.08,0,4.08,2.04,0,2.04,0,0,0,0,0,0,20.41,4.08,0,0,0,0,4.08,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,8.16,0,0,8.16,0,0,0,0,0,10.2,0,0,0,0,0,0,6.12,6.12,0,0,0,0,0,0
6/11/24 11:22,76,0,"Usually they are referring to one's purpose in life.  Whey they would be born and if there is a reasoning behind their existence.  Even if there is no real reason and the world just works at random, it is emotionally fulfilling to believe there is some sort of destiny that we were all guided to achieve in our lifetime.",Life,MeaningOf,1,59,21.16,77.93,84.57,45.75,19.67,18.64,94.92,76.27,64.41,11.86,8.47,0,3.39,0,0,5.08,3.39,13.56,3.39,0,13.56,13.56,10.17,6.78,1.69,20.34,6.78,3.39,8.47,3.39,5.08,0,25.42,3.39,22.03,3.39,6.78,1.69,10.17,3.39,3.39,0,3.39,1.69,0,1.69,0,0,0,0,0,0,13.56,3.39,1.69,0,0,0,0,8.47,0,0,0,0,0,0,0,0,1.69,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,3.39,13.56,0,0,13.56,0,0,0,5.08,5.08,10.17,1.69,0,0,0,0,0,8.47,5.08,1.69,0,0,1.69,0,0
6/11/24 11:21,143,0,"Meaning is the current socially acceptable purpose for something. The spoken word's purpose is to convey thought, emotion, desire, contempt and thought. The written word is a way to communicate through tangible means.",Word,MeaningOf,1,33,95.66,,50.45,1.71,11,45.45,93.94,60.61,42.42,3.03,0,0,0,0,0,0,3.03,12.12,12.12,0,12.12,9.09,3.03,3.03,0,21.21,6.06,0,0,0,0,0,27.27,0,27.27,15.15,6.06,3.03,3.03,0,0,0,9.09,0,3.03,9.09,0,3.03,0,3.03,0,0,21.21,18.18,0,0,3.03,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,3.03,0,0,3.03,0,0,0,3.03,3.03,15.15,0,0,0,0,0,0,21.21,9.09,9.09,0,0,3.03,0,0
6/11/24 11:16,524,0,that they're using something that personally resonates with them.  that it's something that is intrincally fundmental to their core values.  that it's omething yhat they feel compelled to share...,Word,Meaningful,1,29,1,96.58,1,,9.67,27.59,72.41,65.52,58.62,44.83,13.79,0,0,0,0,13.79,31.03,20.69,0,0,10.34,13.79,0,0,0,20.69,0,0,6.9,3.45,0,3.45,17.24,0,17.24,3.45,6.9,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,3.45,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,0,0,3.45,0,0,17.24,0,0,0,0,0,0,27.59,17.24,0,0,0,10.34,0,0
6/11/24 11:24,70,0,They are talking about the actual use of a word.  They are talking about what the word represents.  They are talking about what the idea the word conveys,Word,MeaningOf,1,28,76.24,91.33,1,,9.33,17.86,96.43,82.14,60.71,17.86,10.71,0,0,0,0,10.71,7.14,17.86,17.86,0,14.29,10.71,10.71,0,0,28.57,3.57,0,0,0,0,0,10.71,0,10.71,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14,21.43,0,0,0,0,21.43,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
6/11/24 11:25,56,0,"A life filled with purpose. A life with love, growth, relationships, friendships, advancement and leaving a lasting effect on those around you. A life not filled with frivolous materialistic or status seeking endeavors but quality.",Life,Meaningful,1,35,95.41,40.06,91.58,94.7,11.67,31.43,82.86,48.57,42.86,5.71,2.86,0,0,2.86,0,0,2.86,14.29,11.43,0,14.29,0,2.86,8.57,2.86,2.86,0,0,8.57,5.71,2.86,0,14.29,0,14.29,2.86,5.71,0,2.86,0,8.57,0,5.71,5.71,0,2.86,2.86,0,0,0,0,0,20,5.71,2.86,0,0,0,0,8.57,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,11.43,14.29,2.86,2.86,8.57,0,0,0,2.86,0,0,0,0,0,0,0,0,20,8.57,11.43,0,0,0,0,0
6/11/24 11:26,52,0,"When people talk about ""the meaning of life,"" they are usually asking what the purpose of life is. They want to know why we are here and what makes life important. It's a big question that can make people think about their goals, values, and the things that make them happy.",Life,MeaningOf,1,51,13.06,93.56,6.58,95.42,17,9.8,98.04,80.39,58.82,21.57,9.8,0,1.96,0,0,7.84,11.76,13.73,7.84,0,9.8,9.8,11.76,5.88,0,25.49,5.88,1.96,3.92,1.96,1.96,0,23.53,0,23.53,7.84,9.8,3.92,3.92,0,0,0,5.88,5.88,0,1.96,1.96,0,0,0,0,0,21.57,5.88,0,0,0,0,5.88,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,21.57,1.96,0,0,1.96,0,0,0,3.92,0,11.76,0,0,0,0,0,0,17.65,5.88,5.88,0,0,1.96,3.92,0
6/11/24 11:27,33,0,One that gives you purpose. A meaningful life means you are making a difference in someone's life. It also means you take the risks and fulfill your dreams,Life,Meaningful,1,28,26.1,99,48.09,75.77,9.33,17.86,96.43,75,53.57,25,14.29,0,0,14.29,0,0,10.71,21.43,10.71,3.57,3.57,3.57,3.57,7.14,0,21.43,3.57,3.57,3.57,0,3.57,0,25,0,25,10.71,7.14,0,3.57,0,3.57,0,3.57,3.57,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,3.57,0,0,3.57,0,10.71,3.57,0,0,3.57,0,0,0,0,0,14.29,0,0,0,0,0,0,10.71,7.14,0,0,0,3.57,0,0
6/11/24 11:27,69,0,"People are talking about a purpose, whether it be the general meaning of life for all or for themselves personally. People find the meaning of life in religion, in their job, in their family. Something that makes life worth living.",Life,MeaningOf,1,40,89.52,54.96,78.67,,13.33,25,97.5,67.5,55,15,7.5,0,0,0,0,7.5,7.5,17.5,7.5,0,20,5,2.5,5,0,15,2.5,2.5,0,0,0,0,22.5,2.5,20,7.5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,17.5,2.5,0,0,0,0,2.5,7.5,0,0,0,0,0,0,0,0,7.5,0,0,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,12.5,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,15,7.5,7.5,0,0,0,0,0
